5;6;40;1;
6;7;60;1;
7;117;30;1;
117;118;40;1;
118;125;60;1;
125;104;80;1;
104;152;30;1;
152;99;60;1;
99;130;40;1;
130;128;40;1;
128;76;30;1;
76;147;60;1;
147;48;40;1;
48;51;60;1;
51;49;30;1;
49;140;40;1;
140;114;120;1;
114;113;40;1;
113;151;60;1;
151;143;30;1;
143;144;30;1;
144;34;30;1;
34;62;60;1;
62;95;40;1;
95;25;100;1;
25;24;60;1;
24;110;80;1;
110;98;30;1;
98;119;60;1;
119;120;30;1;
120;157;40;1;
157;82;60;1;
82;68;30;1;
68;79;60;1;
79;58;80;1;
58;110;40;1;
110;26;60;1;
26;27;30;1;
27;95;40;1;
95;148;60;1;
148;142;30;1;
142;145;60;1;
145;143;40;1;
151;100;30;1;
100;159;30;1;
159;46;180;1;
46;52;40;1;
52;50;60;1;
50;47;60;1;
47;146;40;1;
146;75;30;1;
75;74;60;1;
74;128;40;1;
128;85;60;1;
85;59;100;1;
59;83;40;1;
83;84;30;1;
84;9;60;1;
9;7;30;1;
7;6;60;1;
6;5;40;1;
7;9;30;1;
9;84;60;1;
84;83;30;1;
83;59;40;1;
59;85;100;1;
85;128;60;1;
128;74;40;1;
74;75;60;1;
75;146;30;1;
146;47;40;1;
47;50;60;1;
50;52;60;1;
52;46;40;1;
46;159;180;1;
143;145;40;1;
145;142;60;1;
142;148;30;1;
148;95;60;1;
95;27;40;1;
27;26;30;1;
26;110;60;1;
110;58;40;1;
58;79;80;1;
68;82;30;1;
82;157;60;1;
157;120;40;1;
120;119;30;1;
119;98;60;1;
98;110;30;1;
110;24;80;1;
24;25;60;1;
25;95;100;1;
95;62;40;1;
62;34;60;1;
34;144;30;1;
144;143;30;1;
151;113;60;1;
113;114;40;1;
114;140;120;1;
140;49;40;1;
49;51;30;1;
51;48;60;1;
48;147;40;1;
147;76;60;1;
76;128;30;1;
128;130;40;1;
130;99;40;1;
99;152;60;1;
152;104;30;1;
104;125;80;1;
125;118;60;1;
118;117;40;1;
117;7;30;1;
19;137;60;1;
137;105;40;1;
105;1;30;1;
1;2;40;1;
2;36;60;1;
36;141;60;1;
138;20;30;1;
20;12;40;1;
12;94;60;1;
94;126;40;1;
126;111;80;1;
111;67;30;1;
67;66;60;1;
66;10;40;1;
10;11;30;1;
11;33;60;1;
33;13;60;1;
13;4;40;1;
4;127;30;1;
127;87;60;1;
87;101;40;1;
101;87;40;1;
87;127;60;1;
127;139;100;1;
139;8;60;1;
8;37;40;1;
37;158;30;1;
158;102;60;1;
102;96;40;1;
96;64;60;1;
64;38;120;1;
38;115;30;1;
115;116;40;1;
116;112;60;1;
112;45;60;1;
45;90;40;1;
90;131;30;1;
131;73;40;1;
73;132;45;1;
132;133;45;1;
133;134;45;1;
134;133;45;1;
132;73;45;1;
73;131;40;1;
90;45;40;1;
45;112;60;1;
112;116;60;1;
116;115;40;1;
115;38;30;1;
38;64;120;1;
64;96;60;1;
96;102;40;1;
102;158;60;1;
158;37;30;1;
37;8;40;1;
8;139;60;1;
127;4;30;1;
4;13;40;1;
13;33;60;1;
33;11;60;1;
11;10;30;1;
10;66;40;1;
66;67;60;1;
67;111;30;1;
111;126;80;1;
126;94;40;1;
94;12;60;1;
12;20;40;1;
20;138;30;1;
138;98;40;1;
58;141;30;1;
141;36;60;1;
36;2;60;1;
2;1;40;1;
1;105;30;1;
105;137;40;1;
137;19;60;1;
153;154;43;1;
154;63;29;1;
63;15;43;1;
15;44;86;1;
44;143;22;1;
143;124;43;1;
124;41;22;1;
41;81;22;1;
81;53;29;1;
53;55;43;1;
55;88;72;1;
88;141;22;1;
141;58;22;1;
58;98;43;1;
98;138;29;1;
138;82;43;1;
82;71;22;1;
71;72;57;1;
72;43;29;1;
43;109;43;1;
109;160;29;1;
160;3;43;1;
3;155;43;1;
155;129;72;1;
129;30;22;1;
30;32;29;1;
32;136;22;1;
136;28;43;1;
28;40;43;1;
40;161;29;1;
161;39;43;1;
39;77;22;1;
77;65;29;1;
65;162;22;1;
162;163;43;1;
163;35;29;1;
35;135;43;1;
135;163;43;1;
163;162;43;1;
162;65;22;1;
65;39;29;1;
39;108;43;1;
108;16;29;1;
16;17;22;1;
17;61;43;1;
61;78;29;1;
78;89;22;1;
89;23;29;1;
23;21;43;1;
21;22;29;1;
22;106;22;1;
106;107;43;1;
107;18;22;1;
18;161;29;1;
161;40;29;1;
40;28;43;1;
28;136;43;1;
136;32;22;1;
32;30;29;1;
30;31;43;1;
31;92;22;1;
92;93;43;1;
93;91;29;1;
91;156;43;1;
156;123;22;1;
123;122;43;1;
122;121;22;1;
121;43;22;1;
43;69;22;1;
69;70;29;1;
70;82;43;1;
79;42;72;1;
42;80;29;1;
80;60;43;1;
60;149;22;1;
149;36;29;1;
36;54;43;1;
54;57;22;1;
57;56;43;1;
56;81;22;1;
81;150;29;1;
150;29;43;1;
29;15;22;1;
14;124;43;1;
15;29;22;1;
150;81;29;1;
81;56;22;1;
56;57;43;1;
57;54;22;1;
54;36;43;1;
36;149;29;1;
149;60;22;1;
60;80;43;1;
80;42;29;1;
42;79;72;1;
82;70;43;1;
70;69;29;1;
69;43;22;1;
43;121;22;1;
121;122;22;1;
122;123;43;1;
123;156;22;1;
156;91;43;1;
91;93;29;1;
93;92;43;1;
92;31;22;1;
31;30;43;1;
30;129;22;1;
129;155;72;1;
155;3;43;1;
3;160;43;1;
160;109;29;1;
109;43;43;1;
43;72;29;1;
72;71;57;1;
71;82;22;1;
82;138;43;1;
98;58;43;1;
141;88;22;1;
88;55;72;1;
55;53;43;1;
53;81;29;1;
81;41;22;1;
41;124;22;1;
124;143;43;1;
143;44;22;1;
44;15;86;1;
15;63;43;1;
63;14;29;1;
14;154;43;1;
154;153;43;1;
153;86;22;1;
86;153;22;1;
143;151;30;1;
